"","A1-6854_S1","A3-6830_S17","B1-6855_S2","B2-6813_S10","B3-6832_S18","C1-6872_S3","C2-6821_S11","C3-6835_S19","D1-6863_S4","D2-6822_S12","D3-6843_S20","E1-6870_S5","E2-6826_S13","F1-6803_S6","F2-6845_S14","G1-6806_S7","G2-6847_S15_1","H1-6807_S8","H2-6848_S16"
"DN373524",0,5,0,0,0,0,0,0,7,0,2,0,0,0,0,0,1,0,0
"DN373538",0,0,0,0,2,1,0,0,4,2,4,0,1,3,1,3,0,4,0
"DN373549",2,1,0,0,3,0,1,2,1,3,2,0,6,1,1,2,0,3,1
"DN373550",3,1,0,1,0,0,2,1,0,1,1,1,3,0,1,0,3,2,0
"DN373559",2,0,0,2,0,0,1,0,6,0,6,3,4,0,1,3,1,0,0
"DN373567",5,9,4,3,4,2,3,1,6,3,16,2,20,1,0,0,4,0,1
"DN373578",12,17,35,15,15,18,15,10,43,15,35,12,17,33,24,40,16,24,26
"DN373581",0,0,0,1,1,0,1,1,2,0,1,3,2,2,0,0,1,0,0
"DN373601",0,0,3,0,0,0,1,2,0,2,1,0,1,0,0,0,0,0,0
"DN373612",0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0
"DN373619",0,3,2,0,25,0,1,12,0,2,19,0,0,5,0,4,1,5,15
"DN373641",0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0
"DN373645",0,2,0,1,0,2,0,0,1,4,0,0,1,1,0,3,0,0,0
"DN373647",6,2,1,0,0,3,1,0,18,8,1,0,1,0,1,0,0,3,0
"DN373648",4,2,24,7,6,2,2,0,14,5,8,0,8,2,1,4,5,3,5
"DN373676",0,5,1,1,5,4,1,2,3,1,12,2,3,1,3,1,3,1,0
"DN373687",0,0,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
"DN373697",0,2,0,0,0,0,1,1,0,3,5,0,3,0,0,0,3,0,0
"DN373699",1,0,0,0,0,2,0,0,0,3,0,0,0,0,1,0,0,1,0
"DN373708",0,0,2,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0
"DN373747",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2
"DN373752",1,4,3,2,0,0,1,1,5,0,5,0,7,1,3,4,1,0,2
"DN373762",0,1,0,0,3,0,0,1,1,0,4,0,1,0,0,2,0,0,0
"DN373776",1,1,0,0,1,1,0,2,2,0,0,2,1,0,0,0,0,1,0
"DN373783",0,2,1,0,0,0,2,0,3,3,0,0,2,1,2,0,1,0,2
