"","A1-6854_S1","A3-6830_S17","B1-6855_S2","B2-6813_S10","B3-6832_S18","C1-6872_S3","C2-6821_S11","C3-6835_S19","D1-6863_S4","D2-6822_S12","D3-6843_S20","E1-6870_S5","E2-6826_S13","F1-6803_S6","F2-6845_S14","G1-6806_S7","G2-6847_S15_1","H1-6807_S8","H2-6848_S16"
"DN418971",0,174,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
"DN418972",0,1,0,0,2,1,0,1,1,1,0,0,2,2,0,1,0,1,0
"DN418973",7,3,5,7,6,8,3,1,8,3,6,3,4,3,5,6,2,1,9
"DN418974",8,14,12,38,36,5,40,10,45,15,25,6,37,14,31,19,11,14,25
"DN418975",1,8,15,4,5,2,3,8,21,6,19,4,15,3,4,1,6,4,5
"DN418977",0,2,6,1,2,0,1,1,2,3,1,1,0,0,0,0,4,0,0
"DN418978",2,4,19,2,4,11,5,3,24,7,8,8,16,1,3,8,5,4,4
"DN418981",0,8,7,1,9,2,3,1,9,6,14,7,2,8,9,13,6,8,5
"DN418994",1,0,3,2,3,2,3,0,2,2,7,1,3,0,1,2,1,0,0
"DN418997",0,0,4,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0
"DN418998",8,7,14,5,9,9,7,10,25,6,26,3,20,7,6,3,9,9,5
"DN418999",6,6,11,1,5,11,0,2,72,3,2,7,0,1,1,5,0,1,0
"DN419003",7,6,27,3,22,4,17,3,18,18,27,13,35,6,35,0,26,6,11
"DN419004",46,18,78,49,33,33,35,31,80,34,54,24,92,50,30,26,40,23,25
"DN419006",0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0
"DN419008",131,214,354,202,217,80,88,126,410,218,369,40,354,141,54,108,107,103,44
"DN419009",1,1,2,1,5,0,3,1,3,1,1,2,2,0,0,0,0,2,1
"DN419012",143,21,140,136,16,3,119,6,64,402,34,38,271,52,16,26,24,32,0
"DN419017",0,0,0,1,4,2,1,1,9,4,1,0,3,0,0,2,1,3,3
"DN419020",1,4,4,3,6,0,0,1,3,5,5,1,4,0,4,3,0,0,1
"DN419023",17,0,41,0,3,1,0,0,287,1,2,12,2,11,7,9,2,3,2
"DN419028",2,7,10,12,15,15,8,4,20,4,6,4,4,7,6,6,7,3,0
"DN419032",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0
"DN419035",2,1,1,0,1,1,2,0,1,2,3,0,0,1,0,3,4,1,0
"DN419037",17,36,4,5,17,1,84,11,11,19,7,1,63,10,13,24,27,2,22
"DN419039",8,8,1,5,10,3,8,3,13,14,9,2,11,2,2,5,5,3,5
"DN419043",6,16,9,16,9,6,4,2,14,7,16,3,24,13,4,5,0,2,7
"DN419049",0,0,3,0,0,0,0,0,1,0,1,1,1,2,0,0,0,0,0
"DN419050",0,0,1,0,8,2,3,0,0,1,0,0,0,0,1,0,0,0,1
"DN419056",0,2,1,0,7,0,0,0,1,0,0,0,2,0,1,3,0,1,0
"DN419057",0,0,4,0,1,0,0,0,4,0,1,0,0,4,0,0,0,0,0
"DN419061",8,2,12,1,3,5,3,2,13,1,15,0,5,5,0,6,1,5,4
"DN419064",1,680,14,88,40,5,6346,47,51,1286,47,5,766,5,1850,66,73,2,3055
"DN419073",3,1,9,5,0,4,1,1,3,6,6,0,5,4,1,3,1,1,2
"DN419076",0,0,0,1,1,1,3,6,2,3,1,0,4,0,0,0,1,0,0
"DN419077",0,5,4,3,5,5,2,0,1,5,4,1,14,2,2,0,3,1,2
"DN419078",0,2,5,3,1,0,0,0,1,1,3,1,4,4,1,1,2,1,0
"DN419079",1,0,0,1,2,0,0,0,0,2,1,0,0,1,0,0,3,0,1
"DN419082",0,1,4,0,0,2,0,2,9,0,0,2,0,0,0,0,0,0,0
"DN419085",2,6,26,12,9,3,19,9,5,36,24,1,43,11,14,4,13,17,7
"DN419090",21,44,35,58,37,24,15,36,44,38,36,16,52,37,23,24,22,27,18
"DN419091",0,0,2,1,1,3,1,1,2,5,1,0,1,1,1,0,0,0,0
"DN419092",4,8,12,12,7,7,11,8,7,7,4,5,7,2,8,7,5,8,10
"DN419098",3,4,5,6,2,4,1,2,2,2,7,1,14,4,2,4,0,0,1
"DN419105",0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
"DN419114",1,1,10,0,0,2,1,2,2,4,4,1,7,2,5,4,0,0,3
"DN419119",2,3,2,0,2,1,1,1,0,3,0,0,2,1,0,0,0,0,0
"DN419121",3,6,5,0,18,8,5,5,2,3,1,0,9,2,4,3,9,0,2
"DN419124",13,13,36,12,10,13,6,17,30,16,22,6,30,23,12,6,5,5,24
"DN419125",1,5,1,1,12,2,4,1,12,4,4,1,4,2,1,0,3,1,1
"DN419133",8,15,32,18,21,22,12,7,32,18,20,7,32,12,16,13,9,4,12
"DN419136",0,1,0,2,0,4,0,3,2,0,1,2,2,0,1,1,1,0,0
"DN419141",7,7,7,4,9,5,8,6,9,2,12,0,6,4,18,3,8,0,9
"DN419148",0,0,3,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
"DN419149",1,0,1,0,2,0,0,0,1,0,0,0,3,0,0,1,0,0,0
"DN419155",2,2,0,4,2,0,1,4,3,4,9,1,11,5,5,2,1,3,0
"DN419159",0,0,1,0,0,2,1,1,2,3,4,3,3,0,1,0,2,0,3
"DN419172",7,7,4,6,1,3,1,2,7,6,7,3,5,7,2,2,3,1,4
"DN419175",0,1,1,0,1,0,0,1,2,0,0,0,0,0,0,1,0,0,1
"DN419177",0,3,1,0,3,0,3,0,2,0,1,0,3,1,0,0,5,0,1
"DN419179",1,5,7,7,6,2,2,1,4,2,5,2,5,0,1,3,1,4,3
"DN419180",1,1,2,4,1,0,0,0,1,1,0,0,2,1,2,0,1,1,1
"DN419181",0,1,4,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0
"DN419182",0,0,0,0,0,0,1,0,1,2,0,0,1,0,0,0,1,0,0
"DN419183",0,0,0,0,0,0,4,0,0,4,0,0,3,0,0,0,0,0,0
"DN419185",2,2,11,4,3,4,4,3,2,3,9,0,2,7,1,3,1,2,2
"DN419187",2,0,2,5,0,0,4,1,2,0,6,0,12,3,0,1,0,0,1
"DN419193",0,1,6,0,1,0,0,0,4,4,4,0,2,2,0,1,2,0,0
"DN419199",1,14,9,7,10,4,8,5,15,27,8,2,9,5,3,10,3,5,3
"DN419201",0,1,1,2,0,0,1,0,3,0,0,0,3,0,1,0,0,0,1
"DN419207",24,8,31,19,20,32,7,28,22,9,19,14,54,16,9,10,10,16,20
"DN419213",1,2,1,2,0,1,0,1,0,4,4,0,2,0,0,0,1,0,0
"DN419214",2,1,2,0,0,0,3,1,1,0,4,1,4,1,0,1,1,1,0
"DN419217",3,0,4,0,1,0,0,0,1,1,0,1,1,0,0,0,4,2,1
"DN419219",0,4,2,0,1,2,0,0,0,2,1,0,2,2,0,1,0,0,0
"DN419231",1,0,0,1,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0
"DN419234",11,28,26,15,40,27,7,11,38,6,47,19,7,18,4,11,6,19,3
"DN419235",0,0,2,1,2,0,0,0,0,1,2,0,0,0,0,1,1,0,0
"DN419237",1,0,0,0,0,1,0,0,1,2,2,0,4,0,0,0,1,0,0
"DN419239",13,10,20,1,11,7,7,10,21,6,12,5,14,8,4,6,4,4,5
"DN419251",1,12,7,2,4,3,1,6,15,2,7,4,4,4,4,2,1,3,2
"DN419266",0,2,2,2,0,0,0,1,2,2,0,0,0,2,0,0,0,1,0
"DN419270",2,2,6,2,4,0,0,4,9,3,3,4,0,1,2,0,2,0,3
"DN419273",0,2,1,3,1,0,0,1,3,5,3,0,3,0,1,0,0,1,1
"DN419275",0,2,1,1,4,0,0,0,5,2,2,0,3,1,0,1,2,0,1
"DN419276",2,0,2,0,0,0,1,0,2,6,1,0,1,0,0,0,1,0,0
"DN419278",0,3,5,1,1,2,0,1,1,1,5,0,8,0,2,1,2,2,2
"DN419283",3,8,2,2,4,3,3,3,29,6,16,0,14,7,4,4,4,1,2
"DN419287",0,0,3,1,0,1,0,0,1,1,2,1,2,0,3,0,2,2,2
"DN419293",1,2,1,2,1,0,0,0,2,1,2,0,2,0,0,1,0,0,0
"DN419296",0,2,2,4,1,2,0,0,2,0,0,2,2,2,0,0,0,0,0
"DN419298",1,0,1,1,2,0,0,0,1,1,4,1,0,1,1,0,0,1,1
"DN419305",1,3,4,0,4,0,1,0,2,7,0,0,9,0,1,0,1,0,0
"DN419307",3,4,3,1,0,4,0,1,5,5,4,0,3,0,0,0,2,0,0
"DN419315",0,0,1,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,1
"DN419318",7,5,11,7,7,6,5,5,5,3,4,3,9,3,6,8,3,3,0
"DN419322",1,1,5,4,8,2,0,8,4,6,8,3,6,0,1,1,2,0,1
"DN419326",0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0,2,0
"DN419327",5,10,15,10,19,3,3,10,23,17,14,7,15,12,9,2,9,7,9
"DN419331",2,3,6,2,5,1,1,3,0,0,0,1,4,1,1,0,0,0,0
"DN419336",13,19,52,19,35,17,18,19,49,25,32,15,42,27,15,12,15,11,12
"DN419338",0,2,0,0,1,0,1,0,1,0,4,0,3,0,0,0,0,0,0
"DN419339",0,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0
"DN419341",14,21,62,14,19,17,18,16,33,17,27,14,34,14,9,13,16,4,10
"DN419348",2,10,12,19,20,10,11,7,32,11,8,7,22,2,1,11,5,4,3
"DN419352",0,1,3,0,0,0,0,0,0,4,0,0,2,0,0,0,0,1,0
"DN419353",0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0
"DN419357",9,5,11,9,6,3,6,4,21,5,9,6,4,16,5,2,8,2,4
"DN419362",0,4,0,6,2,0,1,0,4,2,5,2,2,1,0,3,2,1,1
"DN419366",1,1,1,10,1,0,1,2,3,3,6,1,5,0,1,1,0,0,0
"DN419368",7,11,15,17,18,9,15,13,18,36,27,3,44,15,16,12,13,11,25
"DN419370",4,6,5,2,1,1,7,6,2,12,1,2,7,2,3,2,4,1,1
"DN419375",5,13,22,10,17,4,1,5,15,13,25,1,10,11,1,6,7,7,3
"DN419378",0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,2,0
"DN419384",0,1,3,1,0,1,0,0,4,2,0,0,3,0,0,0,1,1,0
"DN419389",0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0
"DN419390",0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,2
"DN419393",1,5,3,0,6,2,4,3,1,3,2,1,8,0,2,1,2,0,1
"DN419406",0,1,1,0,1,0,3,0,2,3,2,0,6,1,1,0,1,1,2
"DN419407",0,1,7,5,4,0,2,0,2,8,1,2,19,0,3,6,1,2,0
"DN419408",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"DN419412",0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0
"DN419413",2,1,5,9,3,0,3,3,4,15,2,1,6,1,5,0,1,1,1
"DN419418",0,0,1,0,2,0,0,0,1,4,2,0,4,1,0,0,0,0,0
"DN419424",24,14,13,18,23,8,13,24,26,10,11,7,10,8,9,24,7,9,2
"DN419425",19,39,49,19,81,26,51,60,70,37,63,6,45,34,13,18,33,11,20
"DN419428",1,6,2,5,4,0,1,3,1,4,5,0,6,2,0,4,2,4,5
"DN419429",2,14,15,9,2,7,5,6,30,8,14,5,17,9,7,4,13,4,23
"DN419433",0,0,0,2,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0
"DN419435",158,23,151,67,75,194,211,92,42,117,98,25,28,129,168,124,2,104,2
"DN419438",0,1,1,4,1,4,0,0,0,3,0,0,3,1,0,0,1,2,1
"DN419439",3,0,6,2,1,3,1,2,2,0,4,1,0,0,3,4,1,2,1
"DN419442",3,3,6,1,2,7,1,2,9,0,10,5,2,3,3,4,0,2,0
"DN419451",1,3,5,0,4,1,3,5,3,0,4,1,4,0,4,1,6,2,2
"DN419460",0,3,1,1,3,0,1,3,1,1,2,0,4,0,0,1,4,0,0
"DN419464",0,40,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"DN419468",0,1,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,1,0
"DN419471",6,18,12,7,14,4,7,2,15,7,11,9,11,1,2,4,6,3,6
"DN419474",3,1,17,14,8,3,5,9,5,4,4,3,19,12,1,3,2,6,3
"DN419483",1,0,0,0,3,2,1,0,1,2,4,3,4,0,1,0,1,1,0
"DN419485",20,10,35,45,35,16,30,33,42,42,34,14,42,26,20,29,29,24,17
"DN419486",0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0
"DN419490",1,0,10,9,1,3,0,4,13,7,5,1,3,0,2,2,1,4,1
"DN419492",14,11,24,6,13,7,4,8,16,13,14,10,4,13,4,9,11,3,7
"DN419494",2,4,7,5,4,1,2,12,8,5,5,3,12,7,6,7,5,5,4
"DN419495",12,5,17,7,8,2,4,3,21,9,15,0,11,21,2,9,6,9,4
"DN419499",0,1,0,0,0,0,2,0,0,4,1,0,0,0,0,0,0,0,0
"DN419500",0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0
"DN419503",6,0,2,2,1,0,5,5,0,4,8,0,2,2,3,0,2,1,4
"DN419504",6,6,19,0,7,3,2,1,9,7,12,0,1,4,0,0,8,6,5
"DN419505",5,0,2,1,0,0,6,5,2,5,1,0,11,0,7,3,2,3,1
"DN419507",0,0,0,0,0,0,0,0,2,4,0,1,3,0,0,0,0,0,0
"DN419508",1,1,3,1,3,0,3,0,1,1,3,0,2,0,1,0,0,4,1
"DN419510",1,0,2,0,1,0,1,1,3,0,0,2,0,0,1,1,0,1,0
"DN419512",2,3,7,2,4,0,0,5,6,7,3,0,12,1,8,2,8,0,3
"DN419514",11,23,12,28,34,15,30,23,36,28,37,6,46,32,36,45,22,22,8
"DN419518",1,0,0,0,0,1,1,0,0,3,1,0,0,3,1,0,0,2,0
"DN419519",1,3,2,1,2,0,3,2,6,6,2,0,5,1,0,0,1,0,1
"DN419521",0,5,1,5,0,0,1,2,0,2,1,1,2,1,0,1,3,2,0
"DN419525",26,16,102,16,34,22,12,10,27,37,39,21,47,26,14,11,34,9,13
"DN419526",2,1,8,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0
"DN419530",131,52,158,171,87,135,175,0,424,142,269,78,156,129,88,105,72,68,36
"DN419531",0,4,6,0,5,1,2,2,4,2,8,1,1,7,1,0,3,3,2
"DN419535",0,0,1,0,2,0,1,1,3,1,1,1,1,0,1,0,1,0,0
"DN419536",1,0,8,1,3,5,10,1,2,3,9,0,5,2,0,0,2,2,1
"DN419542",0,2,5,3,0,2,2,1,6,3,6,2,5,3,0,5,3,0,0
"DN419544",2,5,9,6,6,2,2,4,10,4,6,0,5,5,3,0,2,3,2
"DN419551",6,10,16,64,5,4,44,7,14,76,17,16,55,82,0,68,13,89,2
"DN419552",14,11,35,30,12,20,9,5,36,11,31,9,34,20,17,12,21,18,17
"DN419554",0,1,7,6,0,0,0,0,4,3,1,1,0,0,0,0,1,2,2
"DN419563",1,3,3,3,3,0,2,3,10,7,16,2,10,3,6,0,2,4,4
"DN419575",0,0,2,0,1,1,0,0,1,0,0,0,1,2,3,0,0,1,0
"DN419579",13,7,14,18,20,12,48,6,22,64,16,10,22,38,1,2,5,9,5
"DN419581",0,4,10,2,3,3,0,0,2,3,4,1,5,1,0,0,3,0,3
"DN419585",11,6,33,14,17,8,2,4,18,21,23,12,16,5,6,6,17,13,3
"DN419587",24,21,83,19,49,35,49,39,61,67,51,21,81,37,36,21,30,34,34
"DN419589",1,0,1,0,0,1,1,0,1,3,0,0,0,0,0,1,1,1,0
"DN419593",6,2,6,10,5,3,1,3,4,3,4,3,3,7,3,2,1,6,0
"DN419597",0,0,2,0,1,1,1,0,0,1,0,1,3,0,0,1,0,0,2
"DN419609",2,2,4,0,6,0,1,2,0,0,6,1,1,1,3,0,0,0,0
"DN419611",9,7,8,6,7,7,12,2,15,31,9,1,37,29,6,8,13,10,14
"DN419614",1,1,1,0,2,1,0,2,1,4,1,0,0,0,1,3,2,0,0
"DN419618",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,3,0
"DN419624",1,6,11,8,2,1,5,3,11,10,10,1,29,8,3,2,5,5,4
"DN419637",0,0,5,1,0,1,0,0,2,0,0,2,1,0,1,0,1,0,0
"DN419639",0,3,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0
"DN419640",0,16,8,1,9,0,8,11,3,6,18,2,5,3,7,1,10,0,11
"DN419641",11,22,23,26,52,23,11,30,74,19,58,16,88,17,10,26,22,14,12
"DN419648",0,0,3,1,0,0,1,1,1,0,0,0,11,1,0,0,0,1,0
"DN419650",3,2,6,5,2,1,5,4,7,1,5,0,4,0,2,6,5,2,0
"DN419656",3,1,5,3,0,0,3,0,5,7,3,0,6,0,0,0,0,0,0
"DN419657",0,0,5,1,0,0,1,2,0,0,2,0,3,1,1,3,1,1,0
"DN419660",2,2,3,3,1,0,0,0,3,2,3,2,2,0,1,2,3,1,0
"DN419662",0,0,4,1,0,3,1,0,9,1,0,1,0,2,1,2,2,0,0
"DN419666",2,2,3,2,2,1,1,5,2,5,10,2,3,1,4,3,1,0,4
"DN419668",0,3,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,1,0
"DN419681",0,0,3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"DN419686",0,0,1,0,0,0,1,1,4,0,2,1,0,0,0,0,0,0,0
"DN419687",0,0,4,0,2,0,0,0,1,3,4,0,0,0,0,0,0,0,0
"DN419692",1,0,1,0,1,0,0,0,3,5,4,0,3,3,2,1,3,3,3
"DN419695",11,22,26,21,15,17,11,7,58,20,35,20,44,0,13,12,14,5,11
"DN419696",2,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1
"DN419698",0,19,2,0,18,4,14,8,19,0,2,5,1,1,16,1,1,1,7
"DN419699",1,1,1,0,0,0,1,0,3,2,3,0,12,3,0,0,0,1,1
"DN419701",3,2,4,0,3,3,0,1,16,0,3,4,1,5,3,6,1,1,1
"DN419704",1,3,8,0,1,2,2,0,5,4,6,0,8,2,3,3,2,0,0
"DN419706",0,2,0,3,0,1,0,0,1,0,1,0,5,2,0,1,1,0,0
"DN419707",8639,983,1,6271,16440,10847,9383,9466,1,1,1,5755,2,13457,12874,9415,12859,6710,11806
"DN419709",4,1,16,4,5,8,1,1,20,2,0,4,1,7,2,1,8,6,5
"DN419711",3,3,2,3,3,0,0,1,5,9,5,6,13,1,4,1,3,3,0
"DN419715",0,0,3,3,3,1,4,0,4,7,5,0,3,7,3,2,2,0,6
"DN419724",10,46,86,36,55,30,13,45,3,44,64,12,38,25,17,24,11,12,14
"DN419733",4,12,18,10,19,15,20,8,37,28,33,6,59,10,14,7,21,2,33
"DN419743",2913,89,0,1349,2507,1976,2553,1174,0,1,0,865,0,2805,1967,1820,1793,1949,1370
"DN419747",0,1,7,4,4,5,6,1,7,5,7,0,4,7,1,2,1,1,2
"DN419755",27,20,55,39,28,15,17,17,47,51,48,5,72,23,23,18,29,15,17
"DN419760",0,0,0,0,1,0,1,1,0,1,0,0,5,1,0,0,0,2,0
"DN419766",5,2,11,8,2,6,4,2,5,2,5,1,4,2,3,3,2,1,0
"DN419767",0,0,7,0,1,0,0,0,2,1,3,0,2,0,0,1,6,0,13
"DN419769",911,1298,1811,127,1330,822,1323,606,2644,1658,476,1119,528,113,175,206,453,508,90
"DN419770",2,2,1,3,2,0,5,0,3,3,0,1,2,2,1,1,0,1,0
"DN419771",1,3,5,4,4,0,1,3,2,0,4,0,2,0,1,0,1,1,0
"DN419773",0,2,0,0,0,2,0,0,0,3,4,0,0,1,0,1,0,1,2
"DN419774",0,2,1,5,3,1,9,6,7,14,4,0,2,5,5,2,0,1,0
"DN419780",10,13,12,4,8,16,2,13,36,8,13,9,9,4,0,13,6,6,0
"DN419786",1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0
"DN419798",0,2,0,3,3,0,3,1,0,0,2,0,0,0,1,0,1,1,0
"DN419802",4,0,2,1,5,1,0,0,2,3,0,0,3,0,5,0,0,2,2
"DN419807",0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,2
"DN419811",2,2,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
"DN419818",10,45,18,7,50,17,7,36,1,0,3,16,14,0,0,13,4,8,4
"DN419824",1,5,3,2,3,0,2,2,0,0,2,0,0,4,0,2,2,2,1
"DN419828",0,0,3,2,2,0,0,1,2,3,1,0,1,1,0,1,1,1,1
"DN419838",17,13,62,24,13,17,15,21,59,25,28,9,47,13,12,12,11,9,13
"DN419841",2,3,1,2,2,1,0,2,8,1,3,1,1,0,2,0,0,0,0
"DN419843",0,0,2,0,2,0,0,0,0,0,2,0,5,0,0,0,0,0,0
"DN419846",14,8,47,90,30,11,11,10,39,25,19,12,66,21,13,27,13,14,13
"DN419849",0,1,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0
"DN419850",0,1,8,3,4,3,1,2,5,13,2,1,6,3,0,1,1,4,1
"DN419860",0,0,1,1,0,0,2,0,3,2,3,0,0,0,0,0,0,0,0
"DN419863",2,2,7,1,2,1,0,1,3,0,2,0,1,2,1,1,2,0,1
"DN419867",1,3,2,7,4,3,5,5,11,5,2,1,19,7,4,3,5,1,10
"DN419873",127,71,160,104,139,96,123,116,195,108,147,67,166,109,71,63,50,77,88
"DN419877",0,0,2,1,0,0,1,2,0,0,0,0,2,1,0,0,0,2,0
"DN419878",0,2,5,1,2,0,2,2,0,4,3,0,4,1,1,0,1,2,0
"DN419880",0,3,4,4,3,3,0,0,4,2,5,1,3,2,0,1,2,2,0
"DN419886",20,27,32,22,38,27,27,29,60,41,40,16,38,40,25,32,24,24,11
"DN419896",1,0,2,1,1,0,3,0,2,5,0,1,6,3,0,2,0,1,0
"DN419897",1,4,0,1,6,4,0,4,0,0,0,0,0,2,0,0,1,2,0
"DN419898",0,3,6,0,2,2,0,1,2,1,5,1,2,2,0,3,2,1,0
"DN419903",3,3,2,6,3,5,3,1,3,4,7,1,5,4,2,5,2,3,1
"DN419909",1,2,2,1,2,0,2,2,2,1,1,0,4,2,4,1,0,1,1
"DN419919",1,2,7,3,2,5,1,1,3,5,5,0,9,0,3,3,2,3,1
"DN419921",3,8,13,8,8,5,16,2,8,46,11,1,37,10,0,3,6,2,2
"DN419924",2,0,2,1,9,1,5,0,3,2,5,1,1,1,0,0,2,1,0
"DN419926",0,0,4,1,2,0,3,2,1,8,6,0,6,2,0,0,0,2,2
"DN419929",1,0,5,3,1,1,0,0,7,2,0,0,0,1,0,2,1,1,0
"DN419932",0,1,2,0,0,0,1,0,1,3,2,1,2,1,1,1,0,2,0
"DN419939",0,9,10,9,3,2,2,4,2,11,11,2,12,1,8,1,5,2,4
"DN419941",1,0,1,0,0,0,0,1,1,0,2,1,3,1,0,2,0,0,0
"DN419952",2,1,6,0,2,0,1,0,6,1,0,0,4,1,1,0,1,0,5
"DN419954",1,2,4,4,1,3,7,2,6,10,5,2,2,3,0,3,3,1,15
"DN419957",42,47,72,20,54,29,40,23,69,84,68,25,242,33,22,33,27,19,47
"DN419958",0,4,1,3,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0
"DN419962",0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,2
"DN419975",1,1,1,1,0,0,0,0,0,1,0,0,2,2,0,1,0,0,0
"DN419983",3,0,5,0,1,1,0,0,2,0,0,0,0,0,0,0,0,3,0
"DN419986",0,0,6,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
"DN419991",0,0,1,0,2,1,0,0,0,2,1,0,1,1,0,0,0,0,0
"DN419998",48,93,65,61,109,92,50,51,162,39,118,55,83,42,67,79,74,59,33
"DN420002",20,29,96,52,43,23,31,35,78,68,82,20,102,23,33,22,33,18,32
"DN420019",6,1,12,4,6,2,2,8,9,17,9,0,20,2,2,1,3,5,12
"DN420026",0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0
"DN420027",29,49,118,16,73,20,7,31,35,14,51,38,64,8,13,7,63,20,21
"DN420030",1,0,2,0,0,1,1,0,10,0,0,0,1,0,1,1,3,2,0
"DN420036",9,3,26,12,5,5,9,10,22,16,15,7,40,12,5,5,9,7,11
"DN420041",3,8,3,5,19,1,3,4,12,13,10,5,17,1,2,4,6,1,9
"DN420043",0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1
"DN420044",1,3,7,0,3,0,1,0,3,0,1,1,2,1,4,0,1,1,1
"DN420053",0,1,3,0,1,1,2,1,2,2,2,1,34,5,0,2,3,0,1
"DN420058",7,35,19,34,41,13,13,16,71,33,43,7,37,4,10,11,16,10,23
"DN420061",1,8,15,1,2,4,7,3,18,6,6,0,9,7,3,7,1,11,7
"DN420074",15,19,41,15,15,13,28,16,24,37,44,3,58,7,14,6,17,9,16
"DN420075",11,22,23,13,14,4,28,19,30,13,14,5,28,13,14,8,35,2,30
"DN420076",0,2,2,0,2,1,2,2,0,2,0,0,4,0,3,1,0,1,2
"DN420082",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0
"DN420083",0,1,2,3,1,0,0,1,1,0,1,0,0,0,0,1,3,1,0
"DN420094",1076,607,1078,546,1007,1216,700,1177,1476,503,1064,696,1074,1487,1154,1067,774,713,757
"DN420096",0,4,2,1,0,1,0,0,2,2,1,0,0,0,0,0,2,2,0
"DN420102",1,2,0,3,4,0,2,0,0,6,6,0,5,1,2,1,0,2,2
"DN420116",0,1,7,2,0,1,1,0,3,2,4,0,2,0,0,3,0,0,1
"DN420119",0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1
"DN420120",19,19,63,24,32,4,79,26,188,92,44,7,98,16,6,12,11,42,29
"DN420122",41621,4718,6,39644,63685,37933,60081,38527,11,13,8,16483,41,54758,52960,40767,44968,43755,42948
"DN420126",9,5,15,1,16,7,3,7,17,8,13,10,14,12,5,4,5,3,0
"DN420130",0,1,4,3,5,5,0,1,1,2,7,1,0,2,1,4,0,1,0
"DN420136",1,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,1
"DN420138",6,7,8,2,7,6,2,3,7,5,4,4,18,4,2,9,1,2,2
"DN420154",1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
"DN420156",5,3,3,2,5,3,1,1,15,3,7,1,6,3,3,3,3,0,4
"DN420160",0,0,6,0,4,0,0,3,0,1,2,1,0,1,1,0,0,0,3
"DN420166",1,0,2,1,1,2,0,0,1,2,1,0,3,0,0,0,0,0,3
"DN420174",0,0,2,2,2,1,4,1,2,2,3,0,3,0,0,0,1,0,0
"DN420176",1,11,9,0,17,0,4,6,1,3,30,0,2,0,0,0,0,1,0
"DN420178",3,6,5,0,9,0,2,3,6,1,3,1,1,9,3,1,2,0,0
"DN420179",0,0,12,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0
"DN420181",2,0,6,7,0,0,0,0,5,5,2,0,8,2,0,0,1,0,2
"DN420182",0,0,0,0,0,1,1,1,5,0,0,0,0,2,0,0,0,0,0
"DN420183",5,16,11,7,24,5,10,7,13,34,20,4,21,6,7,3,2,7,9
"DN420188",0,2,2,7,3,1,2,1,4,10,5,2,19,4,3,2,4,2,6
"DN420191",0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0
"DN420194",3,2,11,5,2,1,14,0,10,24,4,1,20,1,1,3,6,0,1
